dataNotificacao,municipioNotificacao,totalUti,totalObitos
2020-04-26,TRAJANO DE MORAES,0,0
2020-04-27,APERIBE,0,0
2020-04-27,ARMACAO DOS BUZIOS,0,0
2020-04-27,BELFORD ROXO,38,2
2020-04-27,BOM JESUS DO ITABAPOANA,7,0
2020-04-27,CAMBUCI,0,0
2020-04-27,ITABORAI,5,1
2020-04-27,ITAOCARA,8,0
2020-04-27,ITATIAIA,0,0
2020-04-27,MESQUITA,0,0
2020-04-27,MIGUEL PEREIRA,14,2
2020-04-27,NITEROI,39,2
2020-04-27,NOVA FRIBURGO,16,0
2020-04-27,PARACAMBI,0,0
2020-04-27,PETROPOLIS,55,0
2020-04-27,PIRAI,0,0
2020-04-27,RIO DE JANEIRO,888,31
2020-04-27,SANTO ANTONIO DE PADUA,0,0
2020-04-27,SAO GONCALO,0,2
2020-04-27,SAO SEBASTIAO DO ALTO,0,0
2020-04-27,SAQUAREMA,13,0
2020-04-27,TRAJANO DE MORAES,0,0
2020-04-27,VALENCA,16,0
2020-04-28,APERIBE,0,0
2020-04-28,ARARUAMA,12,0
2020-04-28,BELFORD ROXO,39,0
2020-04-28,BOM JESUS DO ITABAPOANA,7,0
2020-04-28,CAMBUCI,2,0
2020-04-28,CARMO,0,1
2020-04-28,ITABORAI,3,1
2020-04-28,ITAOCARA,4,1
2020-04-28,MESQUITA,0,1
2020-04-28,MIGUEL PEREIRA,18,0
2020-04-28,NITEROI,47,4
2020-04-28,NOVA FRIBURGO,21,0
2020-04-28,PARACAMBI,0,0
2020-04-28,PETROPOLIS,61,0
2020-04-28,PIRAI,0,0
2020-04-28,RIO DE JANEIRO,837,33
2020-04-28,SANTO ANTONIO DE PADUA,0,0
2020-04-28,SAO GONCALO,3,0
2020-04-28,SAO SEBASTIAO DO ALTO,0,0
2020-04-28,SAQUAREMA,13,0
2020-04-28,TRAJANO DE MORAES,0,0
2020-04-28,VALENCA,13,0
2020-04-29,APERIBE,0,0
2020-04-29,BELFORD ROXO,43,1
2020-04-29,BOM JESUS DO ITABAPOANA,7,0
2020-04-29,CAMBUCI,1,0
2020-04-29,CARMO,0,0
2020-04-29,ITABORAI,1,1
2020-04-29,ITAOCARA,2,0
2020-04-29,MENDES,0,0
2020-04-29,MESQUITA,2,4
2020-04-29,MIGUEL PEREIRA,18,0
2020-04-29,NITEROI,48,5
2020-04-29,NOVA FRIBURGO,17,0
2020-04-29,PETROPOLIS,61,0
2020-04-29,PIRAI,0,0
2020-04-29,RIO DE JANEIRO,919,35
2020-04-29,SAO GONCALO,0,2
2020-04-29,SAO SEBASTIAO DO ALTO,0,0
2020-04-29,SAQUAREMA,12,0
2020-04-29,TRAJANO DE MORAES,0,0
2020-04-29,VALENCA,17,0
2020-04-30,APERIBE,0,0
2020-04-30,ARARUAMA,0,0
2020-04-30,ARMACAO DOS BUZIOS,0,0
2020-04-30,BELFORD ROXO,41,3
2020-04-30,BOM JESUS DO ITABAPOANA,7,0
2020-04-30,CAMBUCI,1,0
2020-04-30,CARMO,0,0
2020-04-30,ITABORAI,3,0
2020-04-30,ITAOCARA,4,0
