dataNotificacao,municipio,totalUti,totalObitos,data,populacao,densidadeDemo,IDHM,PIB,totalUtiRel,totalObitoRel,1dose,2dose,doseU,1doseA,2doseA,doseUA,1dose_rel,2dose_rel,1doseA_rel,2doseA_rel
2021-02-02,BARRA MANSA,19,0,2021-01-19,184833,324.94,0.729,28067.77,0.010279549647519653,0.0,244.0,1.0,0.0,244.0,1.0,0.0,0.13201105863130502,0.0005410289288168238,0.13201105863130502,0.0005410289288168238
2021-02-02,BELFORD ROXO,77,0,2021-01-19,513118,6031.38,0.684,15598.12,0.015006294848358468,0.0,66.0,0.0,0.0,69.0,0.0,0.0,0.012862538441450116,0.0,0.013447199279697846,0.0
2021-02-02,BOM JESUS DO ITABAPOANA,43,3,2021-01-19,37203,59.13,0.732,20586.07,0.11558207671424348,0.008063865817272801,39.0,1.0,0.0,40.0,1.0,0.0,0.10483025562454641,0.002687955272424267,0.10751821089697068,0.002687955272424267
2021-02-02,CAMBUCI,0,0,2021-01-19,15514,26.4,0.691,21730.91,0.0,0.0,,,,,,,,,,
2021-02-02,CAMPOS DOS GOYTACAZES,169,0,2021-01-19,511168,115.16,0.716,64186.76,0.03306153749843496,0.0,20.0,0.0,0.0,21.0,0.0,0.0,0.003912607987980468,0.0,0.0041082383873794915,0.0
2021-02-02,CONCEICAO DE MACABU,2,2,2021-01-19,23398,61.08,0.712,15397.59,0.008547739123001967,0.008547739123001967,43.0,0.0,0.0,43.0,0.0,0.0,0.18377639114454228,0.0,0.18377639114454228,0.0
2021-02-02,CORDEIRO,9,0,2021-01-19,22041,175.59,0.729,23270.95,0.04083299305839118,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.03175899460097092,0.0,0.03175899460097092,0.0
2021-02-02,DUQUE DE CAXIAS,4,0,2021-01-19,924624,1828.51,0.711,45490.61,0.0004326082818529478,0.0,429.0,1.0,0.0,459.0,5.0,0.0,0.046397238228728654,0.00010815207046323695,0.04964180034262576,0.0005407603523161847
2021-02-02,GUAPIMIRIM,10,0,2021-01-19,61388,142.7,0.698,16377.56,0.0162898286310028,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.021176777220303644,0.0,0.021176777220303644,0.0
2021-02-02,IGUABA GRANDE,4,0,2021-01-19,28837,439.91,0.761,17622.8,0.013871068419044978,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.06935534209522488,0.0,0.06935534209522488,0.0
2021-02-02,ITABORAI,22,2,2021-01-19,242543,506.55,0.693,18746.84,0.009070556561104628,0.0008245960510095117,394.0,0.0,0.0,395.0,0.0,0.0,0.16244542204887383,0.0,0.16285772007437857,0.0
2021-02-02,ITAGUAI,0,0,2021-01-19,134819,395.45,0.715,63968.12,0.0,0.0,199.0,0.0,0.0,199.0,0.0,0.0,0.14760530785720113,0.0,0.14760530785720113,0.0
2021-02-02,ITAOCARA,9,0,2021-01-19,23222,53.09,0.713,23342.04,0.03875635173542331,0.0,,,,,,,,,,
2021-02-02,MACAE,43,1,2021-01-19,261501,169.89,0.764,61223.07,0.016443531764696883,0.0003824077154580671,1.0,0.0,0.0,2.0,0.0,0.0,0.0003824077154580671,0.0,0.0007648154309161342,0.0
2021-02-02,MARICA,22,4,2021-01-19,164504,351.55,0.765,171003.42,0.013373534990030638,0.0024315518163692067,11.0,0.0,0.0,11.0,0.0,0.0,0.006686767495015319,0.0,0.006686767495015319,0.0
2021-02-02,MIGUEL PEREIRA,14,1,2021-01-19,25581,85.21,0.745,23125.78,0.05472811852546812,0.003909151323247723,2.0,0.0,0.0,3.0,0.0,0.0,0.007818302646495447,0.0,0.011727453969743168,0.0
2021-02-02,MIRACEMA,10,0,2021-01-19,27154,88.15,0.713,19458.25,0.03682698681593872,0.0,,,,,,,,,,
2021-02-02,NITEROI,83,2,2021-01-19,515317,3640.8,0.837,78854.6,0.01610659070048145,0.0003881106192887096,12.0,0.0,0.0,13.0,0.0,0.0,0.002328663715732258,0.0,0.002522719025376613,0.0
2021-02-02,NOVA FRIBURGO,44,0,2021-01-19,191158,195.07,0.745,27435.52,0.023017608470479917,0.0,21.0,0.0,0.0,22.0,0.0,0.0,0.010985676770001779,0.0,0.011508804235239959,0.0
2021-02-02,NOVA IGUACU,3,0,2021-01-19,823302,1527.6,0.713,20538.67,0.00036438633696990897,0.0,,,,,,,,,,
2021-02-02,PARACAMBI,0,0,2021-01-19,52683,262.27,0.72,18799.04,0.0,0.0,103.0,0.0,0.0,104.0,0.0,0.0,0.19550898771899852,0.0,0.1974071332308335,0.0
2021-02-02,PARAIBA DO SUL,24,1,2021-01-19,44518,70.77,0.702,22562.99,0.05391077766296779,0.002246282402623658,,,,,,,,,,
2021-02-02,PETROPOLIS,113,2,2021-01-19,306678,371.85,0.745,41456.25,0.03684646436979503,0.0006521498118547792,3.0,1.0,0.0,3.0,1.0,0.0,0.0009782247177821687,0.0003260749059273896,0.0009782247177821687,0.0003260749059273896
2021-02-02,PIRAI,0,0,2021-01-19,29545,52.07,0.708,63885.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.11507869351836182,0.0,0.11507869351836182,0.0
2021-02-02,QUISSAMA,14,0,2021-01-19,25126,28.4,0.704,101931.44,0.05571917535620473,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.17113746716548595,0.0,0.17113746716548595,0.0
2021-02-02,RESENDE,28,0,2021-01-19,132312,109.35,0.768,64649.16,0.02116210169901445,0.0,156.0,0.0,0.0,156.0,0.0,0.0,0.11790313803736624,0.0,0.11790313803736624,0.0
2021-02-02,RIO CLARO,4,0,2021-01-19,18605,20.81,0.683,21763.04,0.021499596882558453,0.0,,,,,,,,,,
2021-02-02,RIO DE JANEIRO,591,6,2021-01-19,6747815,5265.82,0.799,54426.08,0.00875839067905685,8.891767186859746e-05,661.0,17.0,0.0,670.0,33.0,0.0,0.009795763517523821,0.0002519334036276928,0.009929140025326718,0.000489047195277286
2021-02-02,SAO FIDELIS,12,0,2021-01-19,38710,36.39,0.691,17997.75,0.030999741668819428,0.0,,,,,,,,,,
2021-02-02,SAO GONCALO,78,2,2021-01-19,1091737,4035.9,0.739,17167.6,0.007144577860785152,0.00018319430412269623,5.0,2.0,0.0,14.0,10.0,0.0,0.0004579857603067406,0.00018319430412269623,0.0012823601288588734,0.0009159715206134812
2021-02-02,SAO JOAO DA BARRA,0,0,2021-01-19,36423,71.96,0.671,199339.81,0.0,0.0,34.0,0.0,0.0,36.0,0.0,0.0,0.09334761002663153,0.0,0.09883864591055103,0.0
2021-02-02,SAO JOAO DE MERITI,68,0,2021-01-19,472906,13024.56,0.719,19726.47,0.014379178948882018,0.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0014802095976790314,0.0,0.0014802095976790314,0.0004229170279082947
2021-02-02,SAO SEBASTIAO DO ALTO,0,0,2021-01-19,9387,22.35,0.646,21801.76,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.24501970810695642,0.0,0.24501970810695642,0.0
2021-02-02,SAPUCAIA,10,1,2021-01-19,18249,32.35,0.675,40457.4,0.054797523151953534,0.005479752315195353,,,,,,,,,,
2021-02-02,SAQUAREMA,15,0,2021-01-19,90583,209.96,0.709,35244.56,0.016559398562644205,0.0,148.0,0.0,0.0,148.0,0.0,0.0,0.16338606581808948,0.0,0.16338606581808948,0.0
2021-02-02,TERESOPOLIS,30,3,2021-01-19,184240,212.49,0.73,28503.62,0.01628310898827616,0.001628310898827616,40.0,1.0,0.0,40.0,2.0,0.0,0.021710811984368215,0.0005427702996092054,0.021710811984368215,0.0010855405992184109
2021-02-02,TRAJANO DE MORAES,0,0,2021-01-19,10640,17.44,0.667,18452.36,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.17857142857142858,0.0,0.17857142857142858,0.0
2021-02-02,TRES RIOS,36,2,2021-01-19,82142,237.42,0.725,48575.26,0.04382654427698376,0.0024348080153879866,10.0,0.0,0.0,11.0,0.0,0.0,0.012174040076939934,0.0,0.013391444084633925,0.0
2021-02-02,VALENCA,37,0,2021-01-19,76869,55.06,0.738,33675.61,0.048133838088175986,0.0,,,,,,,,,,
2021-02-02,VASSOURAS,85,3,2021-01-19,37083,63.94,0.714,26624.86,0.22921554351050347,0.00808996035919424,21.0,0.0,0.0,22.0,0.0,0.0,0.05662972251435968,0.0,0.05932637596742443,0.0
2021-02-02,VOLTA REDONDA,10,0,2021-01-19,273988,1412.75,0.771,50606.58,0.003649794881527658,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0076645692512080825,0.0,0.0076645692512080825,0.0
2021-02-03,ANGRA DOS REIS,42,1,2021-01-20,207044,205.45,0.724,44590.88,0.02028554316956782,0.0004829891230849482,510.0,0.0,0.0,516.0,0.0,0.0,0.24632445277332354,0.0,0.24922238751183323,0.0
2021-02-03,APERIBE,0,0,2021-01-20,11901,107.92,0.692,15625.88,0.0,0.0,72.0,0.0,0.0,76.0,0.0,0.0,0.604991177211999,0.0,0.6386017981682212,0.0
2021-02-03,ARARUAMA,16,2,2021-01-20,134293,175.55,0.718,20480.15,0.01191424720573671,0.0014892809007170887,84.0,1.0,0.0,90.0,1.0,0.0,0.06254979783011773,0.0007446404503585444,0.067017640532269,0.0007446404503585444
2021-02-03,AREAL,0,0,2021-01-20,12669,102.99,0.684,25200.29,0.0,0.0,19.0,0.0,0.0,20.0,0.0,0.0,0.14997237351014286,0.0,0.15786565632646618,0.0
2021-02-03,ARMACAO DOS BUZIOS,0,0,2021-01-20,34477,392.16,0.728,76723.42,0.0,0.0,45.0,0.0,0.0,49.0,0.0,0.0,0.1305217971401224,0.0,0.14212373466368883,0.0
2021-02-03,BARRA MANSA,17,2,2021-01-20,184833,324.94,0.729,28067.77,0.009197491789886006,0.0010820578576336477,202.0,2.0,0.0,446.0,3.0,0.0,0.10928784362099841,0.0010820578576336477,0.2412989022523034,0.0016230867864504717
2021-02-03,BELFORD ROXO,74,3,2021-01-20,513118,6031.38,0.684,15598.12,0.014421634010110734,0.0005846608382477325,233.0,3.0,0.0,302.0,3.0,0.0,0.04540865843724056,0.0005846608382477325,0.0588558577169384,0.0005846608382477325
2021-02-03,BOM JESUS DO ITABAPOANA,45,2,2021-01-20,37203,59.13,0.732,20586.07,0.120957987259092,0.005375910544848534,251.0,1.0,0.0,291.0,2.0,0.0,0.674676773378491,0.002687955272424267,0.7821949842754616,0.005375910544848534
2021-02-03,CAMBUCI,0,0,2021-01-20,15514,26.4,0.691,21730.91,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.32228954492716255,0.0,0.32228954492716255,0.0
2021-02-03,CAMPOS DOS GOYTACAZES,171,2,2021-01-20,511168,115.16,0.716,64186.76,0.033452798297233,0.00039126079879804685,580.0,0.0,0.0,601.0,0.0,0.0,0.11346563165143357,0.0,0.11757387003881307,0.0
2021-02-03,CONCEICAO DE MACABU,3,0,2021-01-20,23398,61.08,0.712,15397.59,0.012821608684502949,0.0,47.0,0.0,0.0,90.0,0.0,0.0,0.20087186939054621,0.0,0.3846482605350885,0.0
2021-02-03,CORDEIRO,6,0,2021-01-20,22041,175.59,0.729,23270.95,0.027221995372260787,0.0,140.0,0.0,0.0,147.0,0.0,0.0,0.6351798920194184,0.0,0.6669388866203892,0.0
2021-02-03,ENGENHEIRO PAULO DE FRONTIN,0,0,2021-01-20,14071,99.57,0.722,18695.44,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,0.4903702650842157,0.0,0.4903702650842157,0.0
